0.000000, 8.160000
0.010000, 8.160000
0.020000, 8.160000
0.030000, 8.160000
0.040000, 8.160000
0.050000, 8.160000
0.060000, 8.160000
0.070000, 8.160000
0.080000, 8.160000
0.090000, 8.160000
0.100000, 8.160000
0.110000, 8.160000
0.120000, 8.160000
0.130000, 8.160000
0.140000, 8.160000
0.150000, 8.160000
0.160000, 8.160000
0.170000, 8.160000
0.180000, 8.160000
0.190000, 8.160000
0.200000, 8.160000
0.210000, 8.160000
0.220000, 8.160000
0.230000, 8.160000
0.240000, 8.160000
0.250000, 8.160000
0.260000, 8.160000
0.270000, 8.160000
0.280000, 8.160000
0.290000, 8.160000
0.300000, 8.160000
0.310000, 8.160000
0.320000, 8.160000
0.330000, 8.160000
0.340000, 8.160000
0.350000, 8.160000
0.360000, 8.160000
0.370000, 8.160000
0.380000, 8.160000
0.390000, 8.160000
0.400000, 8.160000
0.410000, 8.160000
0.420000, 8.160000
0.430000, 8.160000
0.440000, 8.160000
0.450000, 8.160000
0.460000, 8.160000
0.470000, 8.160000
0.480000, 8.160000
0.490000, 8.160000
0.500000, 8.160000
0.510000, 8.160000
0.520000, 8.160000
0.530000, 8.160000
0.540000, 8.160000
0.550000, 8.160000
0.560000, 8.160000
0.570000, 8.160000
0.580000, 8.160000
0.590000, 8.160000
0.600000, 8.160000
0.610000, 8.160000
0.620000, 8.160000
0.630000, 8.160000
0.640000, 8.160000
0.650000, 8.160000
0.660000, 8.160000
0.670000, 8.160000
0.680000, 8.160000
0.690000, 8.160000
0.700000, 8.160000
0.710000, 8.160000
0.720000, 8.160000
0.730000, 8.160000
0.740000, 8.160000
0.750000, 8.160000
0.760000, 8.160000
0.770000, 8.160000
0.780000, 8.160000
0.790000, 8.160000
0.800000, 8.160000
0.810000, 8.160000
0.820000, 8.160000
0.830000, 8.160000
0.840000, 8.160000
0.850000, 8.160000
0.860000, 8.160000
0.870000, 8.160000
0.880000, 8.160000
0.890000, 8.160000
0.900000, 8.160000
0.910000, 8.160000
0.920000, 8.160000
0.930000, 8.160000
0.940000, 8.160000
0.950000, 8.160000
0.960000, 8.160000
0.970000, 8.160000
0.980000, 8.160000
0.990000, 8.160000
1.000000, 8.160000
1.010000, 8.160000
1.020000, 8.160000
1.030000, 8.160000
1.040000, 8.160000
1.050000, 8.160000
1.060000, 8.160000
1.070000, 8.160000
1.080000, 8.160000
1.090000, 8.160000
1.100000, 8.160000
1.110000, 8.160000
1.120000, 8.160000
1.130000, 8.160000
1.140000, 8.160000
1.150000, 8.160000
1.160000, 8.160000
1.170000, 8.160000
1.180000, 8.160000
1.190000, 8.160000
1.200000, 8.160000
1.210000, 8.160000
1.220000, 8.160000
1.230000, 8.160000
1.240000, 8.160000
1.250000, 8.160000
1.260000, 8.160000
1.270000, 8.160000
1.280000, 8.160000
1.290000, 8.160000
1.300000, 8.160000
1.310000, 8.160000
1.320000, 8.160000
1.330000, 8.160000
1.340000, 8.160000
1.350000, 8.160000
1.360000, 8.160000
1.370000, 8.160000
1.380000, 8.160000
1.390000, 8.160000
1.400000, 8.160000
1.410000, 8.160000
1.420000, 8.160000
1.430000, 8.160000
1.440000, 8.160000
1.450000, 8.160000
1.460000, 8.160000
1.470000, 8.160000
1.480000, 8.160000
1.490000, 8.160000
1.500000, 8.160000
1.510000, 8.160000
1.520000, 8.160000
1.530000, 8.160000
1.540000, 8.160000
1.550000, 8.160000
1.560000, 8.160000
1.570000, 8.160000
1.580000, 8.160000
1.590000, 8.160000
1.600000, 8.160000
1.610000, 8.160000
1.620000, 8.160000
1.630000, 8.160000
1.640000, 8.160000
1.650000, 8.160000
1.660000, 8.160000
1.670000, 8.160000
1.680000, 8.160000
1.690000, 8.160000
1.700000, 8.160000
1.710000, 8.160000
1.720000, 8.160000
1.730000, 8.160000
1.740000, 8.160000
1.750000, 8.160000
1.760000, 8.160000
1.770000, 8.160000
1.780000, 8.160000
1.790000, 8.160000
1.800000, 8.160000
1.810000, 8.160000
1.820000, 8.160000
1.830000, 8.160000
1.840000, 8.160000
1.850000, 8.160000
1.860000, 8.160000
1.870000, 8.160000
1.880000, 8.160000
1.890000, 8.160000
1.900000, 8.160000
1.910000, 8.160000
1.920000, 8.160000
1.930000, 8.160000
1.940000, 8.160000
1.950000, 8.160000
1.960000, 8.160000
1.970000, 8.160000
1.980000, 8.160000
1.990000, 8.160000
2.000000, 8.160000
2.010000, 8.160000
2.020000, 8.160000
2.030000, 8.160000
2.040000, 8.160000
2.050000, 8.160000
2.060000, 8.160000
2.070000, 8.160000
2.080000, 8.160000
2.090000, 8.160000
2.100000, 8.160000
2.110000, 8.160000
2.120000, 8.160000
2.130000, 8.160000
2.140000, 8.160000
2.150000, 8.160000
2.160000, 8.160000
2.170000, 8.160000
2.180000, 8.160000
2.190000, 8.160000
2.200000, 8.160000
2.210000, 8.160000
2.220000, 8.160000
2.230000, 8.160000
2.240000, 8.160000
2.250000, 8.160000
2.260000, 8.160000
2.270000, 8.160000
2.280000, 8.160000
2.290000, 8.160000
2.300000, 8.160000
2.310000, 8.160000
2.320000, 8.160000
2.330000, 8.160000
2.340000, 8.160000
2.350000, 8.160000
2.360000, 8.160000
2.370000, 8.160000
2.380000, 8.160000
2.390000, 8.160000
2.400000, 8.160000
2.410000, 8.160000
2.420000, 8.160000
2.430000, 8.160000
2.440000, 8.160000
2.450000, 8.160000
2.460000, 8.160000
2.470000, 8.160000
2.480000, 8.160000
